"name","age","gender","length_service","absent_hours","distribution_centers_id","location","latitude","longitude"
"Houston Harold",24.50853,"M",4.796216863,0,1,"Memphis TN",35.1174,-89.9711
"Mejia James",42.62840469,"M",4.124606978,24.79287091,5,"New Orleans LA",29.95,-90.0667
"Bates Charles",54.04930086,"M",4.060790515,121.4480075,10,"Savannah GA",32.0167,-81.1167
"Ross Robert",43.91047001,"M",4.197598793,59.7836809,7,"Philadelphia PA",39.95,-75.1667
"Heller Joseph",42.59140213,"M",5.101161761,55.62426288,2,"Chicago IL",41.8369,-87.6847
"Murray Faye",55.76305,"F",10.623616,0,8,"Mobile AL",30.6944,-88.0431
"Allen Michelle",31.16665889,"F",0.775517909,0,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Jones Harvey",43.26243975,"M",5.843569409,55.05895104,5,"New Orleans LA",29.95,-90.0667
"Nystrom Jane",35.61924833,"F",3.679095448,44.6346054,4,"Los Angeles CA",34.05,-118.25
"Albright Paul",39.26200269,"M",5.748053523,42.45739254,2,"Chicago IL",41.8369,-87.6847
"Lovely Janet",22.5364126,"F",5.897640636,0,2,"Chicago IL",41.8369,-87.6847
"Strayhorn Billie",39.73937,"F",11.885504,0,7,"Philadelphia PA",39.95,-75.1667
"Jones Tammy",46.94959435,"F",2.024655355,107.7955005,3,"Houston TX",29.7604,-95.3698
"Gay Donald",44.10973,"M",12.305714,78.84098352,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Green Earnest",52.78875734,"M",4.589520028,110.1543068,5,"New Orleans LA",29.95,-90.0667
"Riley Wendy",35.63044266,"F",3.947661015,33.93440994,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Malizia Randall",42.4342557,"M",3.387128544,28.60483097,4,"Los Angeles CA",34.05,-118.25
"Lopez Florence",40.96753752,"F",3.285283682,44.9874293,2,"Chicago IL",41.8369,-87.6847
"Howell Carol",46.77086356,"F",1.991692074,126.5011301,5,"New Orleans LA",29.95,-90.0667
"Chico Joyce",45.3008103,"F",5.567973876,19.6191458,1,"Memphis TN",35.1174,-89.9711
"White Anthony",38.29655279,"M",6.095617444,0,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Smith Danny",35.4939,"M",8.348239,44.97411152,5,"New Orleans LA",29.95,-90.0667
"Porter Ana",41.66134173,"F",4.711743887,45.95478779,3,"Houston TX",29.7604,-95.3698
"Depaz Shari",43.5118766,"F",1.778630937,83.3173005,10,"Savannah GA",32.0167,-81.1167
"Witkowski Alice",54.00481868,"F",2.870591513,136.3424045,10,"Savannah GA",32.0167,-81.1167
"Alvarez Kenneth",46.22423463,"M",4.416249838,53.3120259,4,"Los Angeles CA",34.05,-118.25
"Morales Soledad",47.65733071,"F",4.252453434,96.6132406,2,"Chicago IL",41.8369,-87.6847
"Burden Alexis",51.99137493,"F",2.964089468,140.9111414,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Dyal William",33.3683369,"M",2.301876593,31.69229831,1,"Memphis TN",35.1174,-89.9711
"Hayden Kenneth",47.6040848,"M",4.149329545,12.68410865,1,"Memphis TN",35.1174,-89.9711
"Caban Joshua",34.6622,"M",13.828331,54.30033232,9,"Charleston SC",32.7833,-79.9333
"Knight Mildred",37.24006,"F",18.641316,0,4,"Los Angeles CA",34.05,-118.25
"Thurmond Linda",45.47882196,"F",6.837239767,103.3493697,8,"Mobile AL",30.6944,-88.0431
"Monroe Terra",26.91367155,"F",3.983950436,0,3,"Houston TX",29.7604,-95.3698
"Velez Colleen",37.74242382,"F",3.569517999,49.84641191,2,"Chicago IL",41.8369,-87.6847
"Martin Lisa",40.49192,"F",1.223785,58.28770605,3,"Houston TX",29.7604,-95.3698
"Godfrey Ramon",48.62992513,"M",5.534431308,110.8124796,2,"Chicago IL",41.8369,-87.6847
"Jackson Monica",52.18642804,"F",5.333357014,158.6843997,7,"Philadelphia PA",39.95,-75.1667
"Craig Cristina",37.91257982,"F",4.677505826,73.47603875,5,"New Orleans LA",29.95,-90.0667
"Schooley Daniel",29.40947244,"M",4.853084899,2.187241945,8,"Mobile AL",30.6944,-88.0431
"Wireman Jacquie",51.17022316,"F",4.954787053,99.80856689,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Tripp Simone",39.46457145,"F",1.914256944,34.77626973,5,"New Orleans LA",29.95,-90.0667
"Cousins Jessica",26.67920383,"F",4.850275414,0,4,"Los Angeles CA",34.05,-118.25
"Drake Mildred",46.54737692,"F",7.40795942,81.7411048,10,"Savannah GA",32.0167,-81.1167
"Gilreath Mary",39.23785234,"F",5.28876626,51.75805976,2,"Chicago IL",41.8369,-87.6847
"Lundin Edwina",49.02908732,"F",2.992767917,121.0074252,5,"New Orleans LA",29.95,-90.0667
"Gleason Esther",43.74006,"F",16.587192,48.37309828,3,"Houston TX",29.7604,-95.3698
"Sands Diane",55.76493,"F",15.906366,0,5,"New Orleans LA",29.95,-90.0667
"Sharma Donald",55.82635616,"M",2.020945438,137.4598877,7,"Philadelphia PA",39.95,-75.1667
"Hash Yvonne",44.00105092,"F",4.03442867,98.5576777,2,"Chicago IL",41.8369,-87.6847
"Harris Arnold",29.6692902,"M",2.920694436,0,5,"New Orleans LA",29.95,-90.0667
"Massey Christie",46.08440537,"F",4.834791047,44.00185941,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Webber Hobert",27.86599272,"M",4.51966396,0,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Edmondson Cynthia",37.38317605,"F",4.934654158,39.10172396,9,"Charleston SC",32.7833,-79.9333
"Paschall Marjorie",50.43589901,"F",5.505354659,138.9330403,1,"Memphis TN",35.1174,-89.9711
"Johnson Dexter",46.58616386,"M",4.74303968,63.03007856,5,"New Orleans LA",29.95,-90.0667
"Fox Keith",50.28113997,"M",5.319611026,98.3228922,2,"Chicago IL",41.8369,-87.6847
"Kamen Alan",39.04622933,"M",1.733551364,56.30433228,7,"Philadelphia PA",39.95,-75.1667
"Ogden Nancy",37.49357924,"F",5.272417507,25.46792975,2,"Chicago IL",41.8369,-87.6847
"Ervin Patricia",47.5184211,"F",3.813679718,96.88371667,1,"Memphis TN",35.1174,-89.9711
"Clark Pauline",50.24461391,"F",3.450234407,118.490501,8,"Mobile AL",30.6944,-88.0431
"Andrews Debra",40.32982676,"F",6.277340487,34.02042059,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Calderon Sybil",36.92447866,"F",6.283404129,72.79408579,3,"Houston TX",29.7604,-95.3698
"Torres Lee",33.17869,"M",3.616228,0,7,"Philadelphia PA",39.95,-75.1667
"Ward James",32.75941298,"M",7.100916929,0,3,"Houston TX",29.7604,-95.3698
"Browning Christiane",58.57572963,"F",6.547789836,153.2632323,1,"Memphis TN",35.1174,-89.9711
"Wurth William",23.94839693,"M",5.192754104,0,3,"Houston TX",29.7604,-95.3698
"Prescott Wesley",43.20353674,"M",7.921398042,53.84737103,3,"Houston TX",29.7604,-95.3698
"Dunham Ligia",52.64638663,"F",4.990343166,113.9617749,9,"Charleston SC",32.7833,-79.9333
"Garrett Steve",45.82458879,"M",3.39067547,79.10668824,8,"Mobile AL",30.6944,-88.0431
"Alexander Tyrone",35.53798668,"M",5.764585657,29.98231177,9,"Charleston SC",32.7833,-79.9333
"Cheek Mary",37.84977345,"F",1.976125041,68.40403177,8,"Mobile AL",30.6944,-88.0431
"Ackerman Carrie",43.2858,"F",21.122314,30.99399888,10,"Savannah GA",32.0167,-81.1167
"Johnson Patricia",24.36946429,"F",3.769958819,0,2,"Chicago IL",41.8369,-87.6847
"Haley Carey",45.92597301,"M",6.680159831,40.05948151,7,"Philadelphia PA",39.95,-75.1667
"Hall Maria",32.63626674,"F",3.122804778,49.65651125,5,"New Orleans LA",29.95,-90.0667
"Bunch Terra",39.38889368,"F",3.731981529,94.2773662,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Martin Terry",35.69832217,"M",1.881003024,58.09452779,7,"Philadelphia PA",39.95,-75.1667
"Bass Brian",49.71959048,"M",4.205191727,62.16083824,4,"Los Angeles CA",34.05,-118.25
"Wagner Robert",54.67226,"M",17.149135,30.45802032,10,"Savannah GA",32.0167,-81.1167
"McBride Joanne",44.00556211,"F",3.729336444,90.81179196,3,"Houston TX",29.7604,-95.3698
"Johnson Paul",36.480086,"M",18.480086,37.1157124,10,"Savannah GA",32.0167,-81.1167
"Cook Anthony",55.76305,"M",11.44132,0,1,"Memphis TN",35.1174,-89.9711
"Loch Dean",43.1563698,"M",5.174066619,63.18923992,4,"Los Angeles CA",34.05,-118.25
"Defoor James",56.55995386,"M",4.927399666,101.9347516,3,"Houston TX",29.7604,-95.3698
"Wadlington Arthur",43.12316447,"M",2.480452998,45.48992662,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Harte Vanessa",50.35361623,"F",3.006138301,124.2025327,4,"Los Angeles CA",34.05,-118.25
"Galindo Zachary",49.47613903,"M",4.687620059,56.92397595,2,"Chicago IL",41.8369,-87.6847
"Reardon Kenneth",39.73937,"M",16.8497,0,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Flores Doris",44.10973,"F",11.954267,111.7755846,5,"New Orleans LA",29.95,-90.0667
"Busch Alice",35.4939,"F",13.707758,0,1,"Memphis TN",35.1174,-89.9711
"Phillips Alfredo",61.44050167,"M",3.439750719,96.260697,2,"Chicago IL",41.8369,-87.6847
"Lopez Christopher",47.87764919,"M",3.44226196,58.15296878,3,"Houston TX",29.7604,-95.3698
"Fernandez Emma",34.6622,"F",5.689747,40.14572515,10,"Savannah GA",32.0167,-81.1167
"Westling Sharonda",37.85526055,"F",7.02162411,92.24730012,1,"Memphis TN",35.1174,-89.9711
"Pelletier Ronald",57.89963249,"M",5.586855486,116.0821581,4,"Los Angeles CA",34.05,-118.25
"Chacon William",37.24006,"M",2.759389,24.50390384,10,"Savannah GA",32.0167,-81.1167
"Petty Leland",37.97420752,"M",2.519988839,17.06972082,5,"New Orleans LA",29.95,-90.0667
"Whitmire Ernestine",40.49192,"F",6.408469,90.16966119,8,"Mobile AL",30.6944,-88.0431
"Rivers Matthew",49.07042916,"M",6.154288207,46.52578004,2,"Chicago IL",41.8369,-87.6847
"Meyers Kim",55.93339775,"F",4.507594802,156.6886593,2,"Chicago IL",41.8369,-87.6847
"Hebert Sheree",27.38177556,"F",5.882383018,14.38568387,3,"Houston TX",29.7604,-95.3698
"Jacques Pearl",51.85696413,"F",2.856147379,113.2580344,3,"Houston TX",29.7604,-95.3698
"Valdez Gabriela",61.3978081,"F",2.771944271,159.968214,9,"Charleston SC",32.7833,-79.9333
"Vidrine Harold",66.06890246,"M",4.235105015,223.778841,9,"Charleston SC",32.7833,-79.9333
"Carbone Edith",43.74006,"F",23.746003,0,2,"Chicago IL",41.8369,-87.6847
"Hernandez Leonard",40.45052007,"M",3.839194051,79.12363725,2,"Chicago IL",41.8369,-87.6847
"Campbell Frank",57.35063799,"M",6.032330926,154.2577252,5,"New Orleans LA",29.95,-90.0667
"Raley Charlie",31.38918207,"M",4.08229079,0,3,"Houston TX",29.7604,-95.3698
"Rayfield Robert",35.80744,"M",17.80744,0,7,"Philadelphia PA",39.95,-75.1667
"Shea Melinda",52.1325405,"F",6.524270599,88.45913805,10,"Savannah GA",32.0167,-81.1167
"Coleman David",30.55156977,"M",4.994952013,0,4,"Los Angeles CA",34.05,-118.25
"Haynes Patrick",54.55066069,"M",5.582832837,95.49894843,3,"Houston TX",29.7604,-95.3698
"Bonilla Frederick",49.85965201,"M",3.415872649,120.0797189,5,"New Orleans LA",29.95,-90.0667
"Tobin Sonia",43.2858,"F",13.56324,0,8,"Mobile AL",30.6944,-88.0431
"Wood Denise",30.04004847,"F",5.287380572,0,1,"Memphis TN",35.1174,-89.9711
"Guajardo Cynthia",42.51405735,"F",0.696873054,82.89702302,1,"Memphis TN",35.1174,-89.9711
"Marshall Caroline",49.27493559,"F",5.039542872,121.3682638,4,"Los Angeles CA",34.05,-118.25
"Ray James",38.15800998,"M",3.999675679,34.20118293,9,"Charleston SC",32.7833,-79.9333
"Baum Stephanie",45.5594,"F",14.410268,69.47820963,1,"Memphis TN",35.1174,-89.9711
"Dubin Joesph",44.0545011,"M",4.48261494,56.19587246,10,"Savannah GA",32.0167,-81.1167
"Giles Sarah",43.53401993,"F",4.978325753,61.49474478,8,"Mobile AL",30.6944,-88.0431
"Layman Angelica",42.63644281,"F",5.982794346,60.09046813,1,"Memphis TN",35.1174,-89.9711
"Martin Michaela",44.24521906,"F",0.840480646,66.31549844,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Williams Michael",45.94124227,"M",3.842333733,71.55570239,1,"Memphis TN",35.1174,-89.9711
"Hoyt Arnold",37.99890445,"M",6.982080942,33.94380532,10,"Savannah GA",32.0167,-81.1167
"Belliveau Tina",33.403431,"F",3.959062909,46.92397933,10,"Savannah GA",32.0167,-81.1167
"Hoffman Marvin",40.34235317,"M",3.204713851,40.23300149,2,"Chicago IL",41.8369,-87.6847
"Slavin Paul",37.80852455,"M",4.947165495,29.16170217,2,"Chicago IL",41.8369,-87.6847
"Rosenfeld Mary",42.31715261,"F",2.048207893,44.15691237,3,"Houston TX",29.7604,-95.3698
"Bryan Larry",45.01263,"M",12.688114,47.51121024,1,"Memphis TN",35.1174,-89.9711
"Hines Oswaldo",34.28047515,"M",4.044062622,0,5,"New Orleans LA",29.95,-90.0667
"Finley Anna",49.14973,"F",1,121.7851932,5,"New Orleans LA",29.95,-90.0667
"McCaffery Francis",35.36492589,"M",5.028810793,31.13908709,3,"Houston TX",29.7604,-95.3698
"Ditch Diana",53.64586019,"F",5.138841132,79.22102251,7,"Philadelphia PA",39.95,-75.1667
"Foster Bonnie",43.934345,"F",25.934345,38.55781831,7,"Philadelphia PA",39.95,-75.1667
"Mitchell Mary",19.19153395,"F",4.47318993,0,1,"Memphis TN",35.1174,-89.9711
"Peterson Brenda",46.68367521,"F",5.312088904,44.74428082,9,"Charleston SC",32.7833,-79.9333
"Stokley George",44.60240143,"M",4.41770495,93.42104381,4,"Los Angeles CA",34.05,-118.25
"Hauser Harold",48.76869491,"M",5.696230561,96.65594514,10,"Savannah GA",32.0167,-81.1167
"Russell James",50.76459344,"M",1.265974742,71.73266923,1,"Memphis TN",35.1174,-89.9711
"Mott Daniel",59.01548877,"M",3.241373868,109.2478897,4,"Los Angeles CA",34.05,-118.25
"Fernandez Michael",35.98656738,"M",4.453742125,12.57657646,10,"Savannah GA",32.0167,-81.1167
"Burton Norman",51.39517039,"M",3.682661001,34.0739579,8,"Mobile AL",30.6944,-88.0431
"Forrest Tamara",57.43314763,"F",5.885415633,154.8111128,2,"Chicago IL",41.8369,-87.6847
"Britt Robert",52.65101839,"M",5.299719684,90.2876122,9,"Charleston SC",32.7833,-79.9333
"Bennett Jimmy",52.1874037,"M",3.960580937,113.0661266,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Watkins Caitlin",51.77301121,"F",3.908676273,106.5730043,8,"Mobile AL",30.6944,-88.0431
"Wann Amy",35.11682533,"F",5.865363012,12.10318321,9,"Charleston SC",32.7833,-79.9333
"Roberson Dennis",52.99893588,"M",4.219663308,84.32384993,8,"Mobile AL",30.6944,-88.0431
"Brandt Craig",33.93770574,"M",4.18298022,0,5,"New Orleans LA",29.95,-90.0667
"Moore Francis",43.73002137,"M",5.168028157,66.34602697,3,"Houston TX",29.7604,-95.3698
"Johnson Philip",40.93856989,"M",5.488107859,0,7,"Philadelphia PA",39.95,-75.1667
"Parker Karen",18.95983224,"F",3.820712697,0,9,"Charleston SC",32.7833,-79.9333
"Skipper Maria",57.87456,"F",19.248894,72.92419805,8,"Mobile AL",30.6944,-88.0431
"Klein Jennifer",53.312967,"F",35.312967,0,2,"Chicago IL",41.8369,-87.6847
"Vaughn Robert",32.50307819,"M",4.664330299,0,9,"Charleston SC",32.7833,-79.9333
"Anthony Juan",36.38184177,"M",4.953196152,33.52879809,3,"Houston TX",29.7604,-95.3698
"Lavalley Glen",44.84727769,"M",5.170380512,61.73170524,10,"Savannah GA",32.0167,-81.1167
"Bryant Minerva",12.6843222,"F",3.032072975,0,5,"New Orleans LA",29.95,-90.0667
"Elmore Alfred",54.43216037,"M",4.243228337,111.0545762,4,"Los Angeles CA",34.05,-118.25
"Johnson Billy",60.37304921,"M",2.251922005,174.6845171,9,"Charleston SC",32.7833,-79.9333
"Ceaser Mary",37.098383,"F",19.098383,46.77119065,4,"Los Angeles CA",34.05,-118.25
"Collier Steven",44.93259,"M",11.374388,41.62491736,10,"Savannah GA",32.0167,-81.1167
"Aaron Michael",43.91164167,"M",5.502563615,95.4168043,8,"Mobile AL",30.6944,-88.0431
"Moultrie Kevin",45.45783561,"M",4.594193677,22.49132554,10,"Savannah GA",32.0167,-81.1167
"Witt Melissa",37.49657444,"F",6.270841741,59.38794448,7,"Philadelphia PA",39.95,-75.1667
"Duvall Gina",49.67844,"F",12.688541,57.22786992,4,"Los Angeles CA",34.05,-118.25
"Willard Jeffrey",42.78966516,"M",2.483440021,45.13933554,3,"Houston TX",29.7604,-95.3698
"Jacobs Thomas",34.80801888,"M",6.462199055,50.51860074,9,"Charleston SC",32.7833,-79.9333
"Lopes Larry",44.71639495,"M",4.551809045,62.15482382,8,"Mobile AL",30.6944,-88.0431
"Wolfram Betty",39.93536429,"F",6.609689398,16.055531,10,"Savannah GA",32.0167,-81.1167
"Dunn Heather",47.50043293,"F",2.363185013,85.37866147,9,"Charleston SC",32.7833,-79.9333
"Kroon Brent",44.185803,"M",26.185803,0,2,"Chicago IL",41.8369,-87.6847
"Finke Michael",41.60450461,"M",4.004897104,39.67547177,10,"Savannah GA",32.0167,-81.1167
"Hulett Florence",44.22969208,"F",5.520121991,57.18578016,1,"Memphis TN",35.1174,-89.9711
"Ponce Melanie",37.2991166,"F",6.880356905,38.10079038,7,"Philadelphia PA",39.95,-75.1667
"Ellis Jeri",42.46407075,"F",3.729081549,118.5860854,2,"Chicago IL",41.8369,-87.6847
"Cox Conrad",39.31457,"M",14.613758,28.89700216,2,"Chicago IL",41.8369,-87.6847
"Smith Raymond",43.35590303,"M",5.955207373,73.39635973,3,"Houston TX",29.7604,-95.3698
"Banks Ryan",48.48461962,"M",4.929204151,86.86241559,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Kendall Bernadette",45.28880825,"F",6.267979432,106.7733033,7,"Philadelphia PA",39.95,-75.1667
"Fernandez Brian",34.54452812,"M",6.340696466,0,10,"Savannah GA",32.0167,-81.1167
"Labrie Vicky",51.7865376,"F",5.205942693,107.8343573,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
"Ash Christopher",43.46696293,"M",2.826842165,10.68473537,7,"Philadelphia PA",39.95,-75.1667
"Salisbury Susan",37.71197934,"F",2.218388271,31.99564508,9,"Charleston SC",32.7833,-79.9333
"Healy Ann",51.03145944,"F",7.100793025,131.023489,3,"Houston TX",29.7604,-95.3698
"Blake Edward",54.49284808,"M",5.640629096,123.5629654,5,"New Orleans LA",29.95,-90.0667
"Vega Yoshiko",28.9172471,"F",2.244451155,21.03904881,1,"Memphis TN",35.1174,-89.9711
"Hamlin Francis",55.70889907,"F",5.225591189,173.8371942,3,"Houston TX",29.7604,-95.3698
"Adams Andre",43.19064154,"M",8.109839161,20.93704925,3,"Houston TX",29.7604,-95.3698
"Carruth Mary",38.10720123,"F",2.905915461,47.54204413,9,"Charleston SC",32.7833,-79.9333
"Turner Robert",37.74238941,"M",5.388619589,30.81552612,9,"Charleston SC",32.7833,-79.9333
"Norris Kristin",36.48949145,"F",7.144228322,27.60126686,2,"Chicago IL",41.8369,-87.6847
"Wiley Mary",54.75064529,"F",5.919600934,152.1244924,7,"Philadelphia PA",39.95,-75.1667
"Francis Jocelyn",44.77484922,"F",4.778751376,39.57679255,10,"Savannah GA",32.0167,-81.1167
"Goff Phillip",56.11144912,"M",6.904709931,174.8647281,1,"Memphis TN",35.1174,-89.9711
"Reese Amanda",34.11491876,"F",1.620817039,4.006486432,10,"Savannah GA",32.0167,-81.1167
"Keating David",35.97228115,"M",3.579663341,65.57723116,4,"Los Angeles CA",34.05,-118.25
"McLaren Francis",31.47856723,"M",3.675621244,0,3,"Houston TX",29.7604,-95.3698
"Colucci Evelyn",35.7258357,"F",4.155243385,44.50048614,9,"Charleston SC",32.7833,-79.9333
"Wilson Beverly",30.61040793,"F",5.348732049,0,8,"Mobile AL",30.6944,-88.0431
"Thomas Ramon",44.57034084,"M",4.188334866,91.35291618,10,"Savannah GA",32.0167,-81.1167
"Barnard Georgia",38.19626612,"F",6.728007933,59.95757031,7,"Philadelphia PA",39.95,-75.1667
"Perez Erin",38.31640412,"F",5.005929687,28.53802654,9,"Charleston SC",32.7833,-79.9333
"Lindo Susan",54.60035641,"F",3.414992262,112.6071529,4,"Los Angeles CA",34.05,-118.25
"Furman David",52.62338815,"M",5.32818421,84.6091321,3,"Houston TX",29.7604,-95.3698
"Neill Kelly",32.62756763,"M",5.880796835,20.52608989,7,"Philadelphia PA",39.95,-75.1667
"Hilyard Brian",29.37409177,"M",4.395205208,0,5,"New Orleans LA",29.95,-90.0667
"Harder Gary",36.14779144,"M",3.136688027,26.70137233,8,"Mobile AL",30.6944,-88.0431
"Goode Todd",46.19207185,"M",3.959449201,28.78416405,5,"New Orleans LA",29.95,-90.0667
"Dunn Barbara",32.16838201,"F",5.768871951,40.49575113,2,"Chicago IL",41.8369,-87.6847
"Leblanc Louis",39.94819217,"M",3.641443235,49.90548322,10,"Savannah GA",32.0167,-81.1167
"Geist Gregory",44.77063917,"M",5.473203065,71.6224049,8,"Mobile AL",30.6944,-88.0431
"McCann Hazel",40.23564643,"F",7.969360463,22.72600698,7,"Philadelphia PA",39.95,-75.1667
"Logan James",47.7864692,"M",5.409125372,20.11226488,6,"Port Authority of New York/New Jersey NY/NJ",40.634,-73.7834
